dbw_enabled,linear_current,angular_current,linear_required,angular_required,throttle,brake,steer,dx_c,dy_c,theta_c
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,3.33E-08,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,3.33E-08,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,3.33E-08,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,3.33E-08,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,3.33E-08,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,3.33E-08,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
